CODIGO,DESCRICAO
01,Animais vivos.
0101,"Animais vivos.Cavalos, asininos e muares, vivos."
01012,"Animais vivos.Cavalos, asininos e muares, vivos.- Cavalos:"
01012100,"Animais vivos.Cavalos, asininos e muares, vivos.- Cavalos:-- Reprodutores de raça pura"
01012900,"Animais vivos.Cavalos, asininos e muares, vivos.- Cavalos:-- Outros"
01013000,"Animais vivos.Cavalos, asininos e muares, vivos.- Asininos"
01019000,"Animais vivos.Cavalos, asininos e muares, vivos.- Outros"
0102,Animais vivos.Animais vivos da espécie bovina.
01022,Animais vivos.Animais vivos da espécie bovina.- Bovinos domésticos:
010221,Animais vivos.Animais vivos da espécie bovina.- Bovinos domésticos:-- Reprodutores de raça pura
01022110,Animais vivos.Animais vivos da espécie bovina.- Bovinos domésticos:-- Reprodutores de raça pura Prenhes ou com cria ao pé
01022190,Animais vivos.Animais vivos da espécie bovina.- Bovinos domésticos:-- Reprodutores de raça pura Outros
010229,Animais vivos.Animais vivos da espécie bovina.- Bovinos domésticos:-- Outros
0102291,Animais vivos.Animais vivos da espécie bovina.- Bovinos domésticos:-- Outros Para reprodução
01022911,Animais vivos.Animais vivos da espécie bovina.- Bovinos domésticos:-- Outros Para reprodução Prenhes ou com cria ao pé
01022919,Animais vivos.Animais vivos da espécie bovina.- Bovinos domésticos:-- Outros Para reprodução Outros
01022990,Animais vivos.Animais vivos da espécie bovina.- Bovinos domésticos:-- Outros Outros
01023,Animais vivos.Animais vivos da espécie bovina.- Búfalos:
010231,Animais vivos.Animais vivos da espécie bovina.- Búfalos:-- Reprodutores de raça pura
01023110,Animais vivos.Animais vivos da espécie bovina.- Búfalos:-- Reprodutores de raça pura Prenhes ou com cria ao pé
01023190,Animais vivos.Animais vivos da espécie bovina.- Búfalos:-- Reprodutores de raça pura Outros
010239,Animais vivos.Animais vivos da espécie bovina.- Búfalos:-- Outros
0102391,Animais vivos.Animais vivos da espécie bovina.- Búfalos:-- Outros Para reprodução
01023911,Animais vivos.Animais vivos da espécie bovina.- Búfalos:-- Outros Para reprodução Prenhes ou com cria ao pé
01023919,Animais vivos.Animais vivos da espécie bovina.- Búfalos:-- Outros Para reprodução Outros
01023990,Animais vivos.Animais vivos da espécie bovina.- Búfalos:-- Outros Outros
01029000,Animais vivos.Animais vivos da espécie bovina.- Outros
0103,Animais vivos.Animais vivos da espécie suína.
01031000,Animais vivos.Animais vivos da espécie suína.- Reprodutores de raça pura
01039,Animais vivos.Animais vivos da espécie suína.- Outros:
01039100,Animais vivos.Animais vivos da espécie suína.- Outros:-- De peso inferior a 50 kg
01039200,Animais vivos.Animais vivos da espécie suína.- Outros:-- De peso igual ou superior a 50 kg
0104,Animais vivos.Animais vivos das espécies ovina e caprina.
010410,Animais vivos.Animais vivos das espécies ovina e caprina.- Ovinos
0104101,Animais vivos.Animais vivos das espécies ovina e caprina.- Ovinos Reprodutores de raça pura
01041011,Animais vivos.Animais vivos das espécies ovina e caprina.- Ovinos Reprodutores de raça pura Prenhes ou com cria ao pé
01041019,Animais vivos.Animais vivos das espécies ovina e caprina.- Ovinos Reprodutores de raça pura Outros
01041090,Animais vivos.Animais vivos das espécies ovina e caprina.- Ovinos Outros
010420,Animais vivos.Animais vivos das espécies ovina e caprina.- Caprinos
01042010,Animais vivos.Animais vivos das espécies ovina e caprina.- Caprinos Reprodutores de raça pura
01042090,Animais vivos.Animais vivos das espécies ovina e caprina.- Caprinos Outros
0105,"Animais vivos.Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos."
01051,"Animais vivos.Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.- De peso não superior a 185 g:"
010511,"Animais vivos.Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.- De peso não superior a 185 g:-- Aves da espécie Gallus domesticus"
01051110,"Animais vivos.Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.- De peso não superior a 185 g:-- Aves da espécie Gallus domesticus De linhas puras ou híbridas, para reprodução"
01051190,"Animais vivos.Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.- De peso não superior a 185 g:-- Aves da espécie Gallus domesticus Outros"
01051200,"Animais vivos.Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.- De peso não superior a 185 g:-- Peruas e perus"
01051300,"Animais vivos.Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.- De peso não superior a 185 g:-- Patos"
01051400,"Animais vivos.Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.- De peso não superior a 185 g:-- Gansos"
01051500,"Animais vivos.Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.- De peso não superior a 185 g:-- Galinhas-d'angola (pintadas)"
01059,"Animais vivos.Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.- Outros:"
01059400,"Animais vivos.Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.- Outros:-- Aves da espécie Gallus domesticus"
01059900,"Animais vivos.Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.- Outros:-- Outros"
0106,Animais vivos.Outros animais vivos.
01061,Animais vivos.Outros animais vivos.- Mamíferos:
01061100,Animais vivos.Outros animais vivos.- Mamíferos:-- Primatas
01061200,"Animais vivos.Outros animais vivos.- Mamíferos:-- Baleias, golfinhos e botos (mamíferos da ordem Cetacea); peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)"
01061300,Animais vivos.Outros animais vivos.- Mamíferos:-- Camelos e outros camelídeos (Camelidae)
01061400,Animais vivos.Outros animais vivos.- Mamíferos:-- Coelhos e lebres
01061900,Animais vivos.Outros animais vivos.- Mamíferos:-- Outros
01062000,Animais vivos.Outros animais vivos.- Répteis (incluindo as serpentes e as tartarugas marinhas)
01063,Animais vivos.Outros animais vivos.- Aves:
01063100,Animais vivos.Outros animais vivos.- Aves:-- Aves de rapina
01063200,"Animais vivos.Outros animais vivos.- Aves:-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas)"
010633,Animais vivos.Outros animais vivos.- Aves:-- Avestruzes; emus (Dromaius novaehollandiae)
01063310,"Animais vivos.Outros animais vivos.- Aves:-- Avestruzes; emus (Dromaius novaehollandiae) Avestruzes (Struthio camelus), para reprodução"
01063390,Animais vivos.Outros animais vivos.- Aves:-- Avestruzes; emus (Dromaius novaehollandiae) Outros
01063900,Animais vivos.Outros animais vivos.- Aves:-- Outras
01064,Animais vivos.Outros animais vivos.- Insetos:
01064100,Animais vivos.Outros animais vivos.- Insetos:-- Abelhas
01064900,Animais vivos.Outros animais vivos.- Insetos:-- Outros
01069000,Animais vivos.Outros animais vivos.- Outros
02,"Carnes e miudezas, comestíveis."
0201,"Carnes e miudezas, comestíveis.Carnes de animais da espécie bovina, frescas ou refrigeradas."
